# CHIME target band set (central wavelength + FWHM, nm) -- PLACEHOLDER.
# Generated envelope: VNIR-SWIR 400-2500 nm, SSD ~10 nm, FWHM <= 12 nm
# (CHIME MRD [RD01] / L2A ATBD [AD01]). Replace with the official CHIME
# spectral response definition before operational use.
band,central_wavelength_nm,fwhm_nm
CH113,1520.0,10.0
CH114,1530.0,10.0
CH115,1540.0,10.0
CH116,1550.0,10.0
CH117,1560.0,10.0
CH118,1570.0,10.0
CH119,1580.0,10.0
CH120,1590.0,10.0
CH121,1600.0,10.0
CH122,1610.0,10.0
CH123,1620.0,10.0
CH124,1630.0,10.0
CH125,1640.0,10.0
CH126,1650.0,10.0
CH127,1660.0,10.0
CH128,1670.0,10.0
CH129,1680.0,10.0
CH130,1690.0,10.0
CH131,1700.0,10.0
CH132,1710.0,10.0
CH133,1720.0,10.0
CH134,1730.0,10.0
CH135,1740.0,10.0
CH136,1750.0,10.0
CH137,1760.0,10.0
CH138,1770.0,10.0
CH139,1780.0,10.0
CH140,1790.0,10.0
CH141,1800.0,10.0
CH142,1810.0,10.0
CH143,1820.0,10.0
CH144,1830.0,10.0
CH145,1840.0,10.0
CH146,1850.0,10.0
CH147,1860.0,10.0
CH148,1870.0,10.0
CH149,1880.0,10.0
CH150,1890.0,10.0
CH151,1900.0,10.0
CH152,1910.0,10.0
CH153,1920.0,10.0
CH154,1930.0,10.0
CH155,1940.0,10.0
CH156,1950.0,10.0
CH157,1960.0,10.0
CH158,1970.0,10.0
CH159,1980.0,10.0
CH160,1990.0,10.0
CH161,2000.0,10.0
CH162,2010.0,10.0
CH163,2020.0,10.0
CH164,2030.0,10.0
CH165,2040.0,10.0
CH166,2050.0,10.0
CH167,2060.0,10.0
CH168,2070.0,10.0
CH169,2080.0,10.0
CH170,2090.0,10.0
CH171,2100.0,10.0
CH172,2110.0,10.0
CH173,2120.0,10.0
CH174,2130.0,10.0
CH175,2140.0,10.0
CH176,2150.0,10.0
CH177,2160.0,10.0
CH178,2170.0,10.0
CH179,2180.0,10.0
CH180,2190.0,10.0
CH181,2200.0,10.0
CH182,2210.0,10.0
CH183,2220.0,10.0
CH184,2230.0,10.0
CH185,2240.0,10.0
CH186,2250.0,10.0
CH187,2260.0,10.0
CH188,2270.0,10.0
CH189,2280.0,10.0
CH190,2290.0,10.0
CH191,2300.0,10.0
CH192,2310.0,10.0
CH193,2320.0,10.0
CH194,2330.0,10.0
CH195,2340.0,10.0
CH196,2350.0,10.0
CH197,2360.0,10.0
CH198,2370.0,10.0
CH199,2380.0,10.0
CH200,2390.0,10.0
CH201,2400.0,10.0
CH202,2410.0,10.0
CH203,2420.0,10.0
CH204,2430.0,10.0
CH205,2440.0,10.0
CH206,2450.0,10.0
CH207,2460.0,10.0
CH208,2470.0,10.0
CH209,2480.0,10.0
CH210,2490.0,10.0
CH211,2500.0,10.0
